
=== {'alpha': 1.1, 'attn_drop_path': 0.05, 'clf_dropout': 0.1} ===
Epoch 20 | recon 0.001716 | acc 0.065079 | score 0.026371
Epoch 21 | recon 0.001681 | acc 0.046032 | score 0.036528
Epoch 22 | recon 0.001584 | acc 0.061905 | score 0.025593
Epoch 23 | recon 0.001598 | acc 0.063492 | score 0.025163
Epoch 24 | recon 0.001615 | acc 0.060847 | score 0.026541
Epoch 25 | recon 0.001578 | acc 0.065608 | score 0.024052
Epoch 26 | recon 0.001708 | acc 0.064021 | score 0.026678
Epoch 27 | recon 0.001639 | acc 0.064021 | score 0.025599
Epoch 28 | recon 0.001701 | acc 0.061376 | score 0.027717
Epoch 29 | recon 0.001514 | acc 0.069841 | score 0.021677
Epoch 30 | recon 0.001523 | acc 0.066667 | score 0.022839
Epoch 31 | recon 0.001439 | acc 0.073545 | score 0.019569
Epoch 32 | recon 0.001364 | acc 0.069841 | score 0.019523
Epoch 33 | recon 0.001423 | acc 0.073016 | score 0.019493
Epoch 34 | recon 0.001339 | acc 0.069312 | score 0.019324
Epoch 35 | recon 0.001328 | acc 0.074603 | score 0.017798
Epoch 36 | recon 0.001369 | acc 0.065608 | score 0.020865
Epoch 37 | recon 0.001261 | acc 0.062434 | score 0.020197
Epoch 38 | recon 0.001413 | acc 0.075661 | score 0.018681
Epoch 39 | recon 0.001423 | acc 0.061376 | score 0.023187
Epoch 40 | recon 0.001245 | acc 0.081481 | score 0.015280
Epoch 41 | recon 0.001442 | acc 0.072487 | score 0.019900
Epoch 42 | recon 0.001224 | acc 0.074074 | score 0.016528
Epoch 43 | recon 0.001208 | acc 0.066667 | score 0.018118
Epoch 44 | recon 0.001204 | acc 0.075661 | score 0.015909
Epoch 45 | recon 0.001185 | acc 0.074603 | score 0.015889
Epoch 46 | recon 0.001182 | acc 0.067725 | score 0.017450
Epoch 47 | recon 0.001142 | acc 0.072487 | score 0.015758
Epoch 48 | recon 0.001166 | acc 0.068783 | score 0.016951
Epoch 49 | recon 0.001187 | acc 0.058201 | score 0.020390
Epoch 50 | recon 0.001129 | acc 0.068254 | score 0.016541
→ best score = 0.015280  (epoch 40)

=== {'alpha': 1.1, 'attn_drop_path': 0.1, 'clf_dropout': 0.2} ===
Epoch 01 | recon 0.006907 | acc 0.022751 | score 0.303577
Epoch 02 | recon 0.005641 | acc 0.034921 | score 0.161546
Epoch 03 | recon 0.003763 | acc 0.040741 | score 0.092360
Epoch 04 | recon 0.003256 | acc 0.042857 | score 0.075967
Epoch 05 | recon 0.003206 | acc 0.039153 | score 0.081886
Epoch 06 | recon 0.002926 | acc 0.050265 | score 0.058202
Epoch 07 | recon 0.002458 | acc 0.052381 | score 0.046929
Epoch 08 | recon 0.002346 | acc 0.048148 | score 0.048723
Epoch 09 | recon 0.002080 | acc 0.041799 | score 0.049751
Epoch 10 | recon 0.002147 | acc 0.048677 | score 0.044107
Epoch 11 | recon 0.002316 | acc 0.052910 | score 0.043774
Epoch 12 | recon 0.002148 | acc 0.050794 | score 0.042287
Epoch 13 | recon 0.001906 | acc 0.055026 | score 0.034642
Epoch 14 | recon 0.002167 | acc 0.048677 | score 0.044520
Epoch 15 | recon 0.001834 | acc 0.055026 | score 0.033326
Epoch 16 | recon 0.001791 | acc 0.055556 | score 0.032236
Epoch 17 | recon 0.001774 | acc 0.055026 | score 0.032230
Epoch 18 | recon 0.001700 | acc 0.059259 | score 0.028679
Epoch 19 | recon 0.001709 | acc 0.062434 | score 0.027370
Epoch 20 | recon 0.001631 | acc 0.062963 | score 0.025900
Epoch 21 | recon 0.001603 | acc 0.053439 | score 0.030003
Epoch 22 | recon 0.001692 | acc 0.057143 | score 0.029612
Epoch 23 | recon 0.001776 | acc 0.064550 | score 0.027519
Epoch 24 | recon 0.001511 | acc 0.059788 | score 0.025280
Epoch 25 | recon 0.001567 | acc 0.065608 | score 0.023878
Epoch 26 | recon 0.001741 | acc 0.061376 | score 0.028370
Epoch 27 | recon 0.001432 | acc 0.064021 | score 0.022363
Epoch 28 | recon 0.001393 | acc 0.062434 | score 0.022310
Epoch 29 | recon 0.001400 | acc 0.068254 | score 0.020514
Epoch 30 | recon 0.001535 | acc 0.067196 | score 0.022838
Epoch 31 | recon 0.001384 | acc 0.067196 | score 0.020593
Epoch 32 | recon 0.001325 | acc 0.074074 | score 0.017892
Epoch 33 | recon 0.001283 | acc 0.067196 | score 0.019091
Epoch 34 | recon 0.001360 | acc 0.069312 | score 0.019619
Epoch 35 | recon 0.001238 | acc 0.071429 | score 0.017328
Epoch 36 | recon 0.001250 | acc 0.078836 | score 0.015860
Epoch 37 | recon 0.001169 | acc 0.047090 | score 0.024833
Epoch 38 | recon 0.001206 | acc 0.075661 | score 0.015933
Epoch 39 | recon 0.001192 | acc 0.061376 | score 0.019420
Epoch 40 | recon 0.001225 | acc 0.072487 | score 0.016895
Epoch 41 | recon 0.001091 | acc 0.059788 | score 0.018240
