[Epoch 228] lr=9.90e-07  val_recon=0.030492  val_cls=4.760185
[Epoch 229] lr=9.90e-07  val_recon=0.030679  val_cls=4.758024
[Epoch 230] lr=7.92e-07  val_recon=0.031232  val_cls=4.759144
[Epoch 231] lr=7.92e-07  val_recon=0.031095  val_cls=4.762087
[Epoch 232] lr=7.92e-07  val_recon=0.030680  val_cls=4.763299
[Epoch 233] lr=7.92e-07  val_recon=0.030702  val_cls=4.765079
[Epoch 234] lr=7.92e-07  val_recon=0.030691  val_cls=4.762100
[Epoch 235] lr=7.92e-07  val_recon=0.030808  val_cls=4.760383
[Epoch 236] lr=6.34e-07  val_recon=0.030811  val_cls=4.759709
[Epoch 237] lr=6.34e-07  val_recon=0.030728  val_cls=4.765454
[Epoch 238] lr=6.34e-07  val_recon=0.030744  val_cls=4.758825
[Epoch 239] lr=6.34e-07  val_recon=0.030556  val_cls=4.763566
[Epoch 240] lr=6.34e-07  val_recon=0.031134  val_cls=4.761717
[Epoch 241] lr=6.34e-07  val_recon=0.030641  val_cls=4.761735
[Epoch 242] lr=5.07e-07  val_recon=0.030503  val_cls=4.758342
[Epoch 243] lr=5.07e-07  val_recon=0.030640  val_cls=4.756129
[Epoch 244] lr=5.07e-07  val_recon=0.031248  val_cls=4.758789
[Epoch 245] lr=5.07e-07  val_recon=0.030633  val_cls=4.759088
[Epoch 246] lr=5.07e-07  val_recon=0.030662  val_cls=4.765073
[Epoch 247] lr=5.07e-07  val_recon=0.030941  val_cls=4.756918
[Epoch 248] lr=4.06e-07  val_recon=0.030262  val_cls=4.758467
[Epoch 249] lr=4.06e-07  val_recon=0.030660  val_cls=4.762817
[Epoch 250] lr=4.06e-07  val_recon=0.030844  val_cls=4.759239
[Epoch 251] lr=4.06e-07  val_recon=0.030530  val_cls=4.759314
[Epoch 252] lr=4.06e-07  val_recon=0.030056  val_cls=4.756409
[Epoch 253] lr=4.06e-07  val_recon=0.030736  val_cls=4.757671
[Epoch 254] lr=3.25e-07  val_recon=0.030128  val_cls=4.753486
[Epoch 255] lr=3.25e-07  val_recon=0.030949  val_cls=4.758157
[Epoch 256] lr=3.25e-07  val_recon=0.030896  val_cls=4.762817
[Epoch 257] lr=3.25e-07  val_recon=0.030403  val_cls=4.757717
[Epoch 258] lr=3.25e-07  val_recon=0.030571  val_cls=4.757040
[Epoch 259] lr=3.25e-07  val_recon=0.030393  val_cls=4.759881
[Epoch 260] lr=2.60e-07  val_recon=0.031046  val_cls=4.762946
[Epoch 261] lr=2.60e-07  val_recon=0.030373  val_cls=4.759945
[Epoch 262] lr=2.60e-07  val_recon=0.030744  val_cls=4.760523
[Epoch 263] lr=2.60e-07  val_recon=0.030770  val_cls=4.761007
[Epoch 264] lr=2.60e-07  val_recon=0.031095  val_cls=4.760097
[Epoch 265] lr=2.60e-07  val_recon=0.030671  val_cls=4.761603
[Epoch 266] lr=2.08e-07  val_recon=0.030824  val_cls=4.759108
[Epoch 267] lr=2.08e-07  val_recon=0.030507  val_cls=4.756965
[Epoch 268] lr=2.08e-07  val_recon=0.031029  val_cls=4.764184
[Epoch 269] lr=2.08e-07  val_recon=0.030806  val_cls=4.764800
[Epoch 270] lr=2.08e-07  val_recon=0.030614  val_cls=4.761563
[Epoch 271] lr=2.08e-07  val_recon=0.030661  val_cls=4.762674
[Epoch 272] lr=1.66e-07  val_recon=0.031019  val_cls=4.761399
[Epoch 273] lr=1.66e-07  val_recon=0.030895  val_cls=4.761360
[Epoch 274] lr=1.66e-07  val_recon=0.030218  val_cls=4.757128
[Epoch 275] lr=1.66e-07  val_recon=0.031017  val_cls=4.760121
[Epoch 276] lr=1.66e-07  val_recon=0.030689  val_cls=4.758190
[Epoch 277] lr=1.66e-07  val_recon=0.030637  val_cls=4.761622
[Epoch 278] lr=1.33e-07  val_recon=0.030927  val_cls=4.764684
[Epoch 279] lr=1.33e-07  val_recon=0.030605  val_cls=4.762176
[Epoch 280] lr=1.33e-07  val_recon=0.030638  val_cls=4.764869
[Epoch 281] lr=1.33e-07  val_recon=0.030681  val_cls=4.764988
[Epoch 282] lr=1.33e-07  val_recon=0.030859  val_cls=4.755799
[Epoch 283] lr=1.33e-07  val_recon=0.030448  val_cls=4.761910
[Epoch 284] lr=1.06e-07  val_recon=0.030755  val_cls=4.760161
[Epoch 285] lr=1.06e-07  val_recon=0.030633  val_cls=4.763274
[Epoch 286] lr=1.06e-07  val_recon=0.030217  val_cls=4.764992
[Epoch 287] lr=1.06e-07  val_recon=0.030614  val_cls=4.759658
[Epoch 288] lr=1.06e-07  val_recon=0.030806  val_cls=4.760616
[Epoch 289] lr=1.06e-07  val_recon=0.030489  val_cls=4.760658
[Epoch 290] lr=8.51e-08  val_recon=0.030507  val_cls=4.762020
[Epoch 291] lr=8.51e-08  val_recon=0.030159  val_cls=4.757370
[Epoch 292] lr=8.51e-08  val_recon=0.030890  val_cls=4.758549
[Epoch 293] lr=8.51e-08  val_recon=0.030608  val_cls=4.760789
[Epoch 294] lr=8.51e-08  val_recon=0.030723  val_cls=4.756537
[Epoch 295] lr=8.51e-08  val_recon=0.030357  val_cls=4.757045
[Epoch 296] lr=6.81e-08  val_recon=0.030578  val_cls=4.760243
[Epoch 297] lr=6.81e-08  val_recon=0.030590  val_cls=4.764393
[Epoch 298] lr=6.81e-08  val_recon=0.031144  val_cls=4.760540
[Epoch 299] lr=6.81e-08  val_recon=0.030817  val_cls=4.763822
[Epoch 300] lr=6.81e-08  val_recon=0.030863  val_cls=4.758626
[Epoch 301] lr=6.81e-08  val_recon=0.030911  val_cls=4.762397
[Epoch 302] lr=5.44e-08  val_recon=0.030764  val_cls=4.757167
[Epoch 303] lr=5.44e-08  val_recon=0.030464  val_cls=4.762079
[Epoch 304] lr=5.44e-08  val_recon=0.030739  val_cls=4.761197
